Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
" brukarz"; "Wierzbno, małopolskie"; "Umowa o pracę na czas określony"; "MULTIBET S.C. JÓZEF ŁUKASIK & ELŻBIETA ŁUKASIK"; "2025-02-06"; 
" elektryk samochodowy "; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE SPÓŁKA AKCYJNA W KRAKOWIE"; "2025-01-10"; 
" informatyk"; "Piecki, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
" Kierowca/ kurier"; "Nisko, podkarpackie"; "Umowa o pracę na czas określony"; "FIRMA HANDLOWA JANUSZ BIS"; "2025-01-10"; 
" księgowa"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-28"; 
" Kurier-kierowca bus do 3,5 T"; "Częstochowa, śląskie"; "Umowa o pracę na okres próbny"; "FHU FOKUŚ Przemysław Skowron"; "2025-02-03"; 
" Lekarz Urzędowy- Weterynarz"; "Haaksbergen, Holandia"; "Umowa o pracę na czas określony"; "Flexvet B.V."; "2024-10-29"; 
" Młodszy Operator Linii Produkcyjnej z funkcją Line feeder (młodszy magazynier)  "; "Skawina, małopolskie"; "Umowa o pracę na czas określony"; """ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
" Młodszy Operator Linii Produkcyjnej z funkcją Setter (ustawiacz maszyn) "; "Skawina, małopolskie"; "Umowa o pracę na czas określony"; """ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
" młodszyKoordynator rodzinnej pieczy zastępczej"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-04"; 
" Oligofrenopedagog"; "Zakopane, małopolskie"; "Umowa o pracę na czas nieokreślony"; "POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W ZAKOPANEM OŚRODEK REHABILITACYJNO - WYCHOWAWCZY"; "2025-02-07"; 
" operator wózka widłowego"; "Kołacz, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KPPD Szczecienk S.A Zakład Kołacz"; "2025-02-06"; 
" Opiekun osób starszych Opiekun osoby starszej"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "Miejskie Centrum Opieki dla Osób Starszych, Przewlekle Niepełnosprawnych oraz Niesamodzielnych w Krakowie"; "2024-12-19"; 
" Pozostali pracownicy produkcjini"; "Goleniów, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
" Pracownik utrzymania czystości - oferta dla osób z niepełnosprawnościami"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "SCARLETT ASSIST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-31"; 
" prawnik"; "Sędziszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Invest Bau Polen Sp. z o.o. Oddział Sędziszów"; "2024-12-03"; 
" sprzątaczka"; "Osinów Dolny, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Z.P.H.U. Milektron Halina Wołosz"; "2025-01-07"; 
" Sprzedawca w branży mięsnej"; "Opole, opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Konsorcjum Mięsne ""Okrasa"" Grupa Południe Sp. z o.o"; "2025-02-07"; 
" Starszy technik w Wydziale Kwatermistrzowsko-Technicznym"; "Gdynia, pomorskie"; "Umowa o pracę na czas określony"; "Komenda Miejska Państwowej Straży Pożarnej"; "2025-02-05"; 
"(S)Asystentka stomatologiczna"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Toruńskie Przedsiębiorstwo Handlowo Produkcyjne GAMA Zbigniew Manowski"; "2025-01-15"; 
"(S)Fizjoterapeuta"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Centrum Pielęgnacji Caritas Diecezji Toruńskiej"; "2025-01-16"; 
"(S)Opiekunka domowa"; "Toruń, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Polski Komitet Pomocy Społecznej"; "2025-01-30"; 
